nodes,p,graph_name,method,execution_time,graph_path,colors
100,0.01,locally_connected,largest_first,0.003137350082397461,graph-nodes-100-p-0.01-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-11-06-2023-11:11:18.txt,4
100,0.03,locally_connected,largest_first,0.0007274150848388672,graph-nodes-100-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:08:58.txt,5
100,0.1,planar,largest_first,0.0005674362182617188,graph-nodes-100-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:27.txt,4
100,0.5,p7_c3,largest_first,0.0006108283996582031,graph-nodes-100-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-12:59:51.txt
1000,0.03,locally_connected,largest_first,0.004230499267578125,graph-nodes-1000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:03.txt,17
1000,0.1,planar,largest_first,0.0016636848449707031,graph-nodes-1000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:38.txt,4
1000,0.5,p7_c3,largest_first,0.01003575325012207,graph-nodes-1000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-12:59:55.txt
10000,0.03,locally_connected,largest_first,0.2566204071044922,graph-nodes-10000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:17:29.txt,67
10000,0.1,planar,largest_first,0.015278816223144531,graph-nodes-10000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-29-05-2023-21:26:33.txt,4
10000,0.5,p7_c3,largest_first,1.115886926651001,graph-nodes-10000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:21.txt
15000,0.03,locally_connected,largest_first,0.590334415435791,graph-nodes-15000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:27:14.txt,92
15000,0.5,p7_c3,largest_first,2.8362674713134766,graph-nodes-15000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:35.txt
2000,0.03,locally_connected,largest_first,0.011914253234863281,graph-nodes-2000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:10.txt,23
2000,0.1,planar,largest_first,0.0031440258026123047,graph-nodes-2000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:10:53.txt,4
2000,0.5,p7_c3,largest_first,0.03715872764587402,graph-nodes-2000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:06.txt
20000,0.03,locally_connected,largest_first,1.0880727767944336,graph-nodes-20000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:56:27.txt,117
20000,0.5,p7_c3,largest_first,5.16350245475769,graph-nodes-20000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:01:11.txt
3000,0.03,locally_connected,largest_first,0.024023771286010742,graph-nodes-3000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:21.txt,28
3000,0.1,planar,largest_first,0.004499197006225586,graph-nodes-3000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:20:29.txt,4
3000,0.5,p7_c3,largest_first,0.08282041549682617,graph-nodes-3000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:06.txt
4000,0.03,locally_connected,largest_first,0.04133796691894531,graph-nodes-4000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:48.txt,34
4000,0.1,planar,largest_first,0.006048679351806641,graph-nodes-4000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:55:35.txt,4
4000,0.5,p7_c3,largest_first,0.14831185340881348,graph-nodes-4000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:08.txt
500,0.03,locally_connected,largest_first,0.0020198822021484375,graph-nodes-500-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:08:59.txt,11
500,0.1,planar,largest_first,0.0013816356658935547,graph-nodes-500-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:28.txt
500,0.5,p7_c3,largest_first,0.004343509674072266,graph-nodes-500-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-12:59:51.txt
5000,0.03,locally_connected,largest_first,0.0682668685913086,graph-nodes-5000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:10:49.txt,40
