nodes,p,graph_name,method,execution_time,graph_path
15000,0.03,locally_connected,sat_formula,928.5301768779755,graph-nodes-15000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:27:14.txt
15000,0.03,locally_connected,sat_solving,10.768427610397339,graph-nodes-15000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:27:14.txt
15000,0.03,locally_connected,sat,939.3014163970947,graph-nodes-15000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:27:14.txt
20000,0.03,locally_connected,sat_formula,1641.1166543960571,graph-nodes-20000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:56:27.txt
20000,0.03,locally_connected,sat_solving,19.286879062652588,graph-nodes-20000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:56:27.txt
20000,0.03,locally_connected,sat,1660.4054522514343,graph-nodes-20000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:56:27.txt
35000,0.03,locally_connected,sat_formula,5028.477948188782,graph-nodes-35000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-27-05-2023-12:35:24.txt
35000,0.03,locally_connected,sat_solving,88.63124346733093,graph-nodes-35000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-27-05-2023-12:35:24.txt
35000,0.03,locally_connected,sat,5117.11097741127,graph-nodes-35000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-27-05-2023-12:35:24.txt
45000,0.03,locally_connected,sat_formula,8354.779342651367,graph-nodes-45000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-28-05-2023-03:26:00.txt
45000,0.03,locally_connected,sat_solving,166.96659779548645,graph-nodes-45000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-28-05-2023-03:26:00.txt
45000,0.03,locally_connected,sat,8521.747784376144,graph-nodes-45000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-28-05-2023-03:26:00.txt
50000,0.03,locally_connected,sat_formula,10488.691269159317,graph-nodes-50000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-28-05-2023-15:36:42.txt
50000,0.03,locally_connected,sat_solving,165.0971920490265,graph-nodes-50000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-28-05-2023-15:36:42.txt
50000,0.03,locally_connected,sat,10653.791594982147,graph-nodes-50000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-28-05-2023-15:36:42.txt
3000,0.03,locally_connected,sat_formula,40.726269006729126,graph-nodes-3000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:21.txt
