nodes,p,graph_name,method,execution_time,graph_path
20000,0.5,p7_c3,sat_formula,12415.193671226501,graph-nodes-20000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:01:11.txt
20000,0.5,p7_c3,sat_solving,129.35926866531372,graph-nodes-20000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:01:11.txt
20000,0.5,p7_c3,sat,12565.419668674469,graph-nodes-20000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:01:11.txt
15000,0.5,p7_c3,sat_formula,6867.478939771652,graph-nodes-15000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:35.txt
15000,0.5,p7_c3,sat_solving,63.11859965324402,graph-nodes-15000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:35.txt
15000,0.5,p7_c3,sat,6941.880659580231,graph-nodes-15000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:35.txt
10000,0.5,p7_c3,sat_formula,3039.325422525406,graph-nodes-10000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:21.txt
10000,0.5,p7_c3,sat_solving,29.83610486984253,graph-nodes-10000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:21.txt
10000,0.5,p7_c3,sat,3075.4179813861847,graph-nodes-10000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:21.txt
5000,0.5,p7_c3,sat_formula,785.0444242954254,graph-nodes-5000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:10.txt
