nodes,p,graph_name,method,execution_time,graph_path
1000,0.1,planar,sat_formula,0.7747037410736084,graph-nodes-1000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:38.txt
1000,0.1,planar,sat_solving,0.016660213470458984,graph-nodes-1000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:38.txt
1000,0.1,planar,sat,0.8592109680175781,graph-nodes-1000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:38.txt
1000,0.1,planar,planar,0.05074024200439453,graph-nodes-1000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:38.txt
2000,0.1,planar,sat_formula,1.5436632633209229,graph-nodes-2000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:10:53.txt
2000,0.1,planar,sat_solving,0.02779221534729004,graph-nodes-2000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:10:53.txt
2000,0.1,planar,sat,1.7913939952850342,graph-nodes-2000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:10:53.txt
2000,0.1,planar,planar,0.16682934761047363,graph-nodes-2000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:10:53.txt
500,0.1,planar,sat_formula,0.3776357173919678,graph-nodes-500-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:28.txt
500,0.1,planar,sat_solving,0.009839534759521484,graph-nodes-500-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:28.txt
500,0.1,planar,sat,0.42230677604675293,graph-nodes-500-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:28.txt
500,0.1,planar,planar,0.019302845001220703,graph-nodes-500-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:28.txt
7000,0.1,planar,sat_formula,5.363253116607666,graph-nodes-7000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-27-05-2023-18:39:58.txt
7000,0.1,planar,sat_solving,0.0942845344543457,graph-nodes-7000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-27-05-2023-18:39:58.txt
7000,0.1,planar,sat,5.917893886566162,graph-nodes-7000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-27-05-2023-18:39:58.txt
7000,0.1,planar,planar,1.625364065170288,graph-nodes-7000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-27-05-2023-18:39:58.txt
4000,0.1,planar,sat_formula,2.979778289794922,graph-nodes-4000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:55:35.txt
4000,0.1,planar,sat_solving,0.05515336990356445,graph-nodes-4000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:55:35.txt
4000,0.1,planar,sat,3.301222324371338,graph-nodes-4000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:55:35.txt
4000,0.1,planar,planar,0.6015870571136475,graph-nodes-4000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:55:35.txt
9000,0.1,planar,sat_formula,6.825551748275757,graph-nodes-9000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-28-05-2023-21:35:11.txt
9000,0.1,planar,sat_solving,0.13401174545288086,graph-nodes-9000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-28-05-2023-21:35:11.txt
9000,0.1,planar,sat,7.604934453964233,graph-nodes-9000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-28-05-2023-21:35:11.txt
9000,0.1,planar,planar,2.703030824661255,graph-nodes-9000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-28-05-2023-21:35:11.txt
5000,0.1,planar,sat_formula,3.7575948238372803,graph-nodes-5000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-15:26:28.txt
5000,0.1,planar,sat_solving,0.07038140296936035,graph-nodes-5000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-15:26:28.txt
5000,0.1,planar,sat,4.200896978378296,graph-nodes-5000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-15:26:28.txt
